Line Code,LIST,PR1,PR2,PR3,PR4,PR5
100,2.1*C,0.90*L,,,,
103,1.45*J,1.4*J,1.32*J,,,
107,2.2*C,0.92*L,,,,
111,2.2*C,0.97*L,,,,
121,2.9*C,2.8*C,,,,
123,1.5*J,1.3*J,,1.22*J,BASE,
126,2.25*C,0.90*L,,1.85*C,1.70*C,
127,1.65*C,1.65*C,,,,
132,2.0*C,1.8*C,,,,
133,2.2*C,0.95*L,,,,
134,2.25*C,0.90*L,,1.80*C,1.65*C,
137,2.1*C,0.90*L,,1.62*C,1.52*C,
139,2*C,1.8*C,,,,
140,2*C,1.9*C,,,,
143,2.25*C,0.90*L,,,,
144,2.40*C,0.90*L,,,,
150,2.5*C,0.92*L,,,,
154,2*C,1.9*C,,,,
155,2.3*C,0.95*L,,,,
156,2.2*C,0.97*L,,,,
158,2*C,1.87*C,,,,
159,1.8*J,0.92*L,1.52*J,1.27*J,BASE,
161,2.2*C,0.97*L,,,,
162,2.5*C,0.90*L,,,,
163,1.55*J,1.48*J,1.42*J,1.27*J,BASE,
167,2.1*C,0.90*L,,1.62*C,1.52*C,
190,1.7*C,1.6*C,,1.45*C,1.35*C,
177,2.2*C,0.97*L,,,,
183,2*C,1.87*C,,,,
185,2.2*C,0.97*L,,,,
187,2*C,0.90*L,,,,
192,2.2*C,0.90*L,,1.80*C,1.65*C,
193,2.15*C,0.92*L,,,,
216,1.95*C,1.9*C,,1.60*C,1.45*C,
208,2.2*C,0.97*L,,,,
225,2.1*C,1.92*C,,,,
226,1.4*J,1.3*J,,1.2*J,BASE,
227,3*C,0.9*L,,2.25*C,2.00*C,
229,2.2*C,0.97*L,,,,
230,2*C,0.92*L,,,,
261,2*C,0.9*L,,1.62*C,1.42*C,
279,2*C,0.9*L,,1.75*C,1.5*C,
288,,,,,,
286,3.75*C,3.3*C,,3.00*C,2.77*C,
303,,,,,,
305,,,,,,
320,,,,,,
345,2.2*C,0.97*L,1.97*C,1.77*C,1.67*C,
354,,,,,,
360,1.5*J,1.42*J,1.32*J,1.22*J,BASE,
375,2*C,1.92*C,1.82*C,1.72*C,1.42*C,
378,2*C,0.9*L,,1.52*C,1.42*C,
379,,,,,,
380,2*C,0.95*C,,1.62*C,1.42*C,
383,2*C,0.95*C,,1.67*C,1.45*C,
384,1.75*J,1.6*J,1.5*J,1.35*J,BASE,
,,,,,,
395,,,,,,
397,,,,,,
407,,,,,,
410,,,,,,
415,2.4*C,0.95*L,2.13*C,1.93*C,1.83*C,
428,,,,,,
425,,,,,,
432,,,,,,
437,,,,,,
438,,,,,,
442,,,,,,
447,,,,,,
448,,,,,,
450,,,,,,
458,,,,,,
465,,,,,,
476,,,,,,
483,,,,,,
485,1.8*J,1.72*J,,1.42*J,BASE,
4X4,,,,,,
500,1.6*J,1.47*J,1.37*J,1.27*J,BASE,
,,,,,,
502,1.8*C,1.72*C,,1.55*C,1.45*C,
504,,,,,,
522,1.8*J,1.6*J,1.4*J,1.2*J,BASE,
526,1.8*J,1.6*J,1.4*J,1.2*J,BASE,
529,,,,,,
543,,,,,,
552,2.8*C,2.62*C,2.42*C,2.27*C,1.95*C,
559,,,,,,
577,,,,,,
581,,,,,,
588,2*C,1.9*C,,1.42*C,1.30*C,
586,,,,,,
602,,,,,,
608,,,,,,
610,,,,,,
611,,,,,,
621,,,,,,
622,,,,,,
623,,,,,,
625,,,,,,
626,,,,,,
635,1.6*J,0.92*L,1.32*J,1.22*J,BASE,
641,,,,,,
644,2.35*C,2.2*C,2.1*C,1.95*C,1.75*C,
652,2.4*C,0.95*L,2.13*C,1.93*C,1.83*C,
646,,,,,,
656,,,,,,
660,,,,,,
663,,,,,,
665,1.5*J,1.42*J,1.32*J,1.22*J,BASE,
,,,,,,
670,2.4*C,0.95*L,,1.9*C,1.5*C,
674,,,,,,
702,,,,,,
715,,,,,,
725,,,,,,
730,,,,,,
731,,,,,,
735,,,,,,
747,,,,,,
755,,,,,,
763,,,,,,
770,2*C,1.7*C,1.7*C,1.7*C,1.5*C,
775,,,,,,
780,2*C,1.9*C,,1.7*C,1.45*C,
791,,,,,,
801,2*C,1.8*C,1.6*C,1.6*C,1.5*C,
803,,,,,,
805,,,,,,
806,,,,,,
810,,,,,,
814,,,,,,
815,,,,,,
821,,,,,,
823,,,,,,
825,,,,,,
860,,,,,,
870,,,,,,
880,,,,,,
914,,,,,,
928,,,,,,
931,1.4294*J,1.32*J,,1.22*J,BASE,1.42*C
935,,,,,,
936,,,,,,
961,,,,,,
970,,,,,,
980,,,,,,
989,,,,,,
990,,,,,,
AFZ,2*C,1.92*C,1.82*C,1.72*C,1.42*C,
AIM,,,,,,
ATL,,,,,,
BDG,,,,,,
CAS,,,,,,
CHE,,,,,,
CAR,,,,,,
CNB,,,,,,
CRC,1.8*C,1.7*C,1.7*C,1.6*C,1.4*C,
CUM,1.6*C,1.52*C,1.52*C,1.52*C,1.42*C,
DDA,2.15*C,1.97*C,1.97*C,1.77*C,1.42*C,
,,,,,,
DDR,,,,,,
DOC,2*C,1.87*C,1.72*C,1.57*C,1.42*C,
ELC,2*C,0.97*L,1.82*C,1.67*C,1.42*C,
ETL,,,,,,
EUC,,,,,,
EXH,2*C,1.92*C,1.77*C,1.62*C,1.42*C,
FDM,,,,,,
FFT,2.6*C,2.42*C,,,,
FLT,,,,,,
FRA,,,,,,
GAS,,,,,,
GNO,,,,,,
GRL,,,,,,
HAY,,,,,,
HDE,1.6*C,1.52*C,1.52*C,1.52*C,1.45*C,
,,,,,,
,,,,,,
HDT,2*C,1.87*C,1.77*C,1.67*C,1.45*C,
,,,,,,
HDI,,,,,,
HEW,,,,,,
,,,,,,
HIT,1.75*C,1.6*C,1.52*C,1.52*C,1.42*C,
HPF,,,,,,
ISP,,,,,,
JET,BASE,2.15*C,1.95*C,1.95*C,1.7*C,1.42*C
,,,,,,
,,,,,,
KIM,2*C,1.92*C,,1.72*C,1.4*C,
KLE,1.7*J,1.17*J,1.17*J,1.17*J,BASE,
KRA,,,,,,
MEV,,,,,,
MSC,2.0*C,1.92*C,1.82*C,1.72*C,1.42*C,
,,,,,,
MTP,,,,,,
MUR,,,,,,
NEL,,,,,,
NEW,2.25*C,2.00*C,,1.65*C,1.5*C,
,,,,,,
NRL,1.90*C,.90*L,,1.62*C,1.5*C,
PAP,3.00*C,2.80*C,,2.50*C,2.25*C,
PYN,,,,,,
QUI,,,,,,
RAC,BASE,1.75*C,1.62*C,1.52*C,1.45*C,1.4*C
RCP,,,,,,
RTK,2.5*C,2.3242*C,2.1*C,1.9*C,1.6*C,1.42*C
STE,,,,,,
VEL,2*C,1.9*C,1.8*C,1.7*C,1.6*C,BASE
VOL,1.6*C,1.55*C,,1.55*C,1.47*C,
WEI,,,,,,
WES,,,,,,
WIX,,,,,,
WSM,,,,,,
